face_happy,face_sad,face_angry,face_fear,face_surprise,face_neutral,scroll_speed,time_spent,interaction_count,quiz_response_time,label
0.666,0.279,0.748,0.787,0.454,0.174,0.475,0.561,0.968,0.481,Frustrated
0.064,0.287,0.852,0.825,0.292,0.23,0.512,0.528,0.699,0.533,Frustrated
0.105,0.285,0.778,0.764,0.41,0.198,0.39,0.551,0.609,0.417,Frustrated
0.882,0.233,0.862,0.814,0.685,0.137,0.348,0.448,0.704,0.421,Frustrated
0.354,0.171,0.644,0.829,0.789,0.207,0.393,0.475,0.716,0.555,Frustrated
0.876,0.288,0.723,0.103,0.393,0.201,0.586,0.498,0.966,0.506,Frustrated
0.748,0.272,0.821,0.439,0.611,0.268,0.358,0.658,0.801,0.603,Frustrated
0.002,0.133,0.664,0.719,0.732,0.124,0.354,0.608,0.869,0.469,Frustrated
0.354,0.148,0.806,0.105,0.222,0.278,0.325,0.406,0.665,0.45,Frustrated
0.96,0.144,0.808,0.616,0.557,0.147,0.374,0.417,0.843,0.517,Frustrated
0.412,0.2,0.766,0.871,0.631,0.134,0.462,0.609,0.772,0.611,Frustrated
0.206,0.238,0.813,0.392,0.896,0.129,0.482,0.435,0.646,0.501,Frustrated
0.561,0.195,0.682,0.628,0.689,0.114,0.426,0.405,0.803,0.638,Frustrated
0.485,0.269,0.701,0.334,0.792,0.264,0.517,0.561,0.604,0.651,Frustrated
0.804,0.178,0.781,0.902,0.203,0.115,0.556,0.665,0.673,0.54,Frustrated
0.074,0.23,0.627,0.375,0.804,0.113,0.417,0.563,0.951,0.69,Frustrated
0.069,0.175,0.773,0.37,0.464,0.17,0.468,0.496,0.999,0.466,Frustrated
0.005,0.197,0.889,0.804,0.773,0.232,0.513,0.403,0.863,0.465,Frustrated
0.518,0.261,0.819,0.14,0.671,0.25,0.53,0.575,0.627,0.635,Frustrated
0.759,0.282,0.848,0.597,0.654,0.25,0.351,0.458,0.897,0.667,Frustrated
0.202,0.154,0.956,0.314,0.242,0.243,0.49,0.447,0.832,0.542,Frustrated
0.383,0.239,0.686,0.822,0.66,0.115,0.572,0.552,0.77,0.456,Frustrated
0.27,0.165,0.918,0.191,0.695,0.227,0.508,0.479,0.709,0.682,Frustrated
0.188,0.252,0.687,0.088,0.699,0.256,0.379,0.599,0.838,0.644,Frustrated
0.557,0.149,0.747,0.039,0.667,0.276,0.309,0.478,0.773,0.41,Frustrated
0.845,0.265,0.729,0.249,0.577,0.299,0.566,0.498,0.959,0.67,Frustrated
0.998,0.272,0.627,0.241,0.04,0.261,0.6,0.498,0.638,0.624,Frustrated
0.654,0.163,0.764,0.232,0.014,0.213,0.307,0.508,0.652,0.635,Frustrated
0.625,0.213,0.906,0.864,0.587,0.224,0.529,0.412,0.849,0.651,Frustrated
0.597,0.146,0.832,0.928,0.929,0.178,0.527,0.533,0.996,0.612,Frustrated
0.715,0.261,0.737,0.593,0.053,0.23,0.363,0.699,0.811,0.694,Frustrated
0.691,0.2,0.782,0.697,0.649,0.133,0.503,0.512,0.87,0.683,Frustrated
0.668,0.191,0.71,0.837,0.17,0.241,0.491,0.58,0.662,0.454,Frustrated
0.536,0.292,0.608,0.488,0.402,0.261,0.483,0.61,0.912,0.651,Frustrated
0.052,0.171,0.661,0.032,0.423,0.219,0.383,0.676,0.829,0.575,Frustrated
0.886,0.273,0.634,0.197,0.737,0.142,0.564,0.665,0.843,0.598,Frustrated
0.465,0.295,0.715,0.847,0.062,0.225,0.599,0.409,0.921,0.669,Frustrated
0.386,0.117,0.734,0.071,0.211,0.288,0.593,0.645,0.627,0.656,Frustrated
0.759,0.295,0.692,0.968,0.44,0.129,0.381,0.43,0.788,0.45,Frustrated
0.355,0.151,0.711,0.674,0.063,0.126,0.398,0.49,0.919,0.47,Frustrated
0.485,0.117,0.684,0.302,0.563,0.131,0.344,0.503,0.924,0.659,Frustrated
0.488,0.155,0.922,0.082,0.46,0.225,0.474,0.552,0.655,0.443,Frustrated
0.667,0.215,0.723,0.777,0.862,0.245,0.317,0.526,0.929,0.538,Frustrated
0.489,0.139,0.726,0.742,0.493,0.174,0.552,0.697,0.815,0.667,Frustrated
0.762,0.191,0.793,0.126,0.196,0.166,0.408,0.658,0.935,0.522,Frustrated
0.553,0.146,0.981,0.372,0.662,0.229,0.47,0.574,0.67,0.547,Frustrated
0.286,0.265,0.656,0.927,0.97,0.137,0.356,0.484,0.828,0.466,Frustrated
0.845,0.211,0.829,0.796,0.175,0.117,0.412,0.639,0.657,0.51,Frustrated
0.871,0.1,0.869,0.793,0.627,0.153,0.365,0.662,0.688,0.475,Frustrated
0.04,0.284,0.9,0.291,0.208,0.197,0.437,0.505,0.661,0.428,Frustrated
0.43,0.197,0.695,0.597,1.0,0.131,0.44,0.54,0.963,0.628,Frustrated
0.511,0.168,0.908,0.615,0.911,0.141,0.548,0.451,0.759,0.409,Frustrated
0.161,0.268,0.804,0.025,0.449,0.188,0.315,0.41,0.801,0.565,Frustrated
0.38,0.135,0.695,0.801,0.392,0.156,0.517,0.433,0.62,0.582,Frustrated
0.387,0.286,0.9,0.066,0.019,0.213,0.532,0.471,0.65,0.603,Frustrated
0.668,0.292,0.931,0.933,0.265,0.106,0.533,0.47,0.81,0.504,Frustrated
0.277,0.248,0.845,0.282,0.963,0.277,0.395,0.654,0.871,0.684,Frustrated
0.079,0.168,0.604,0.443,0.261,0.162,0.512,0.587,0.886,0.697,Frustrated
0.092,0.112,0.737,0.163,0.595,0.286,0.581,0.456,0.934,0.512,Frustrated
0.751,0.232,0.66,0.754,0.578,0.194,0.434,0.55,0.987,0.474,Frustrated
0.411,0.233,0.962,0.402,0.885,0.142,0.527,0.417,0.927,0.402,Frustrated
0.342,0.137,0.958,0.43,0.831,0.138,0.394,0.607,0.964,0.481,Frustrated
0.434,0.219,0.648,0.164,0.117,0.16,0.459,0.486,0.894,0.548,Frustrated
0.567,0.264,0.819,0.657,0.898,0.286,0.403,0.62,0.961,0.598,Frustrated
0.464,0.215,0.76,0.119,0.981,0.121,0.303,0.648,0.731,0.64,Frustrated
0.103,0.206,0.686,0.173,0.568,0.232,0.478,0.622,0.627,0.41,Frustrated
0.348,0.186,0.719,0.05,0.053,0.294,0.546,0.695,0.975,0.478,Frustrated
0.824,0.172,0.877,0.821,0.477,0.216,0.368,0.584,0.783,0.476,Frustrated
0.482,0.193,0.74,0.841,0.221,0.117,0.542,0.498,0.745,0.463,Frustrated
0.119,0.287,0.752,0.934,0.684,0.161,0.547,0.515,0.923,0.538,Frustrated
0.562,0.294,0.813,0.715,0.068,0.231,0.443,0.522,0.613,0.448,Frustrated
0.551,0.171,0.767,0.403,0.834,0.115,0.484,0.682,0.647,0.599,Frustrated
0.676,0.183,0.926,0.658,0.07,0.171,0.412,0.477,0.845,0.432,Frustrated
0.879,0.134,0.758,0.557,0.231,0.184,0.347,0.648,0.673,0.413,Frustrated
0.635,0.283,0.801,0.63,0.403,0.287,0.587,0.466,0.893,0.666,Frustrated
0.833,0.129,0.901,0.54,0.845,0.265,0.503,0.529,0.813,0.619,Frustrated
0.308,0.203,0.773,0.573,0.325,0.197,0.575,0.475,0.752,0.653,Frustrated
0.346,0.246,0.616,0.671,0.805,0.179,0.302,0.694,0.709,0.69,Frustrated
0.66,0.221,0.979,0.688,0.12,0.105,0.535,0.48,0.76,0.697,Frustrated
0.16,0.183,0.975,0.171,0.418,0.209,0.487,0.467,0.672,0.492,Frustrated
0.602,0.232,0.903,0.163,0.234,0.103,0.325,0.518,0.959,0.43,Frustrated
0.42,0.285,0.609,0.051,0.039,0.274,0.592,0.441,0.934,0.469,Frustrated
0.04,0.161,0.83,0.588,0.398,0.257,0.309,0.575,0.757,0.403,Frustrated
0.55,0.175,0.99,0.051,0.426,0.281,0.383,0.613,0.818,0.481,Frustrated
0.45,0.119,0.933,0.337,0.871,0.286,0.367,0.468,0.922,0.645,Frustrated
0.395,0.167,0.633,0.53,0.161,0.188,0.526,0.415,0.684,0.548,Frustrated
0.408,0.054,0.072,0.68,0.057,0.345,0.914,0.228,0.161,0.246,Distracted
0.896,0.052,0.177,0.297,0.23,0.492,0.807,0.209,0.078,0.258,Distracted
0.156,0.165,0.079,0.738,0.36,0.502,0.882,0.202,0.048,0.448,Distracted
0.794,0.198,0.195,0.659,0.578,0.347,0.934,0.024,0.054,0.498,Distracted
0.564,0.085,0.066,0.851,0.202,0.423,0.973,0.14,0.058,0.386,Distracted
0.04,0.003,0.164,0.89,0.992,0.534,0.987,0.247,0.138,0.367,Distracted
0.979,0.021,0.025,0.674,0.847,0.56,0.859,0.23,0.042,0.276,Distracted
0.276,0.115,0.086,0.769,0.226,0.505,0.865,0.178,0.135,0.381,Distracted
0.606,0.012,0.026,0.849,0.045,0.366,0.938,0.188,0.047,0.424,Distracted
0.082,0.093,0.003,0.259,0.028,0.4,0.947,0.144,0.068,0.479,Distracted
0.05,0.133,0.193,0.89,0.577,0.389,0.926,0.164,0.085,0.252,Distracted
0.407,0.068,0.183,0.143,0.715,0.48,0.913,0.021,0.1,0.227,Distracted
0.946,0.135,0.136,0.296,0.001,0.538,0.859,0.209,0.105,0.47,Distracted
0.324,0.003,0.146,0.665,0.557,0.478,0.854,0.199,0.044,0.39,Distracted
0.402,0.13,0.021,0.729,0.78,0.576,0.869,0.028,0.027,0.449,Distracted
0.851,0.003,0.108,0.958,0.566,0.376,0.824,0.214,0.0,0.307,Distracted
0.095,0.078,0.048,0.315,0.097,0.482,0.903,0.165,0.017,0.314,Distracted
0.812,0.199,0.117,0.327,0.306,0.562,0.835,0.133,0.197,0.36,Distracted
0.578,0.126,0.026,0.693,0.701,0.34,0.881,0.205,0.135,0.295,Distracted
0.285,0.037,0.005,0.443,0.617,0.486,0.951,0.15,0.175,0.419,Distracted
0.541,0.096,0.117,0.086,0.057,0.332,0.97,0.038,0.039,0.489,Distracted
0.498,0.164,0.008,0.689,0.252,0.491,0.821,0.163,0.117,0.27,Distracted
0.641,0.146,0.073,0.466,0.19,0.475,0.862,0.269,0.123,0.443,Distracted
0.767,0.063,0.011,0.702,0.331,0.306,0.94,0.108,0.111,0.473,Distracted
0.12,0.187,0.05,0.585,0.969,0.424,0.935,0.227,0.079,0.336,Distracted
0.452,0.132,0.2,0.355,0.401,0.349,0.876,0.102,0.012,0.352,Distracted
0.061,0.088,0.13,0.814,0.941,0.498,0.823,0.124,0.177,0.316,Distracted
0.338,0.116,0.08,0.127,0.392,0.481,0.93,0.045,0.191,0.343,Distracted
0.577,0.119,0.174,0.345,0.803,0.466,0.833,0.063,0.147,0.218,Distracted
0.151,0.059,0.029,0.433,0.596,0.419,0.908,0.17,0.016,0.472,Distracted
0.63,0.016,0.095,0.829,0.783,0.549,0.816,0.227,0.188,0.376,Distracted
0.04,0.035,0.144,0.405,0.516,0.591,0.855,0.037,0.188,0.463,Distracted
0.983,0.19,0.004,0.086,0.814,0.543,0.916,0.202,0.187,0.344,Distracted
0.902,0.011,0.12,0.383,0.216,0.414,0.856,0.132,0.026,0.393,Distracted
0.555,0.071,0.16,0.826,0.631,0.476,0.889,0.246,0.01,0.448,Distracted
0.626,0.121,0.044,0.572,0.185,0.462,0.957,0.124,0.12,0.487,Distracted
0.442,0.133,0.016,0.163,0.184,0.368,0.812,0.229,0.121,0.357,Distracted
0.839,0.097,0.077,0.145,0.506,0.454,0.84,0.015,0.077,0.319,Distracted
0.049,0.112,0.192,0.098,0.044,0.563,0.812,0.172,0.014,0.37,Distracted
0.077,0.168,0.059,0.17,0.127,0.584,0.837,0.194,0.108,0.214,Distracted
0.143,0.137,0.19,0.382,0.555,0.597,0.825,0.074,0.104,0.307,Distracted
0.024,0.098,0.083,0.335,0.177,0.423,0.815,0.201,0.001,0.393,Distracted
0.097,0.079,0.047,0.179,0.798,0.395,0.82,0.18,0.191,0.419,Distracted
0.782,0.056,0.07,0.993,0.241,0.322,0.936,0.143,0.109,0.477,Distracted
0.799,0.196,0.036,0.334,0.731,0.423,0.975,0.067,0.166,0.32,Distracted
0.14,0.012,0.138,0.416,0.549,0.56,0.884,0.25,0.116,0.441,Distracted
0.159,0.079,0.027,0.949,0.88,0.503,0.881,0.299,0.104,0.241,Distracted
0.358,0.097,0.084,0.594,0.576,0.501,0.981,0.062,0.198,0.307,Distracted
0.355,0.148,0.005,0.78,0.564,0.363,0.832,0.166,0.094,0.371,Distracted
0.133,0.122,0.098,0.261,0.419,0.521,0.852,0.17,0.139,0.439,Distracted
0.024,0.057,0.147,0.585,0.941,0.449,0.92,0.086,0.103,0.202,Distracted
0.897,0.081,0.104,0.196,0.023,0.465,0.835,0.027,0.094,0.388,Distracted
0.913,0.086,0.15,0.572,0.181,0.543,0.972,0.267,0.115,0.379,Distracted
0.615,0.118,0.085,0.082,0.088,0.467,0.854,0.074,0.04,0.292,Distracted
0.649,0.162,0.003,0.669,0.799,0.42,0.834,0.064,0.104,0.285,Distracted
0.679,0.113,0.133,0.932,0.997,0.438,0.987,0.046,0.004,0.466,Distracted
0.221,0.179,0.051,0.138,0.859,0.369,0.944,0.264,0.057,0.215,Distracted
0.21,0.063,0.082,0.977,0.646,0.528,0.9,0.072,0.135,0.427,Distracted
0.131,0.193,0.079,0.672,0.729,0.507,0.987,0.235,0.061,0.43,Distracted
0.232,0.129,0.149,0.405,0.269,0.428,0.915,0.151,0.041,0.294,Distracted
0.183,0.179,0.169,0.956,0.377,0.525,0.84,0.273,0.157,0.311,Distracted
0.875,0.063,0.162,0.302,0.859,0.375,0.868,0.146,0.012,0.233,Distracted
0.501,0.137,0.066,0.646,0.511,0.584,0.971,0.044,0.153,0.407,Distracted
0.662,0.19,0.066,0.752,0.812,0.341,0.824,0.241,0.062,0.458,Distracted
0.252,0.148,0.136,0.873,0.169,0.512,0.989,0.258,0.063,0.24,Distracted
0.549,0.034,0.167,0.189,0.72,0.415,0.811,0.143,0.143,0.455,Distracted
0.839,0.142,0.021,0.671,0.697,0.549,0.902,0.138,0.121,0.449,Distracted
0.961,0.177,0.009,0.679,0.631,0.422,0.873,0.218,0.176,0.234,Distracted
0.011,0.079,0.028,0.544,0.976,0.533,0.854,0.283,0.05,0.289,Distracted
0.508,0.176,0.101,0.138,0.983,0.432,0.874,0.103,0.071,0.356,Distracted
0.196,0.084,0.157,0.82,0.649,0.425,0.85,0.199,0.015,0.379,Distracted
0.996,0.064,0.119,0.435,0.921,0.454,0.884,0.077,0.092,0.426,Distracted
0.844,0.0,0.183,0.742,0.168,0.366,0.869,0.061,0.011,0.326,Distracted
0.349,0.024,0.102,0.375,0.621,0.429,0.824,0.217,0.014,0.479,Distracted
0.039,0.011,0.038,0.392,0.802,0.37,0.944,0.011,0.022,0.498,Distracted
0.778,0.173,0.002,0.461,0.989,0.558,0.868,0.203,0.089,0.353,Distracted
0.097,0.198,0.172,0.706,0.346,0.462,0.897,0.226,0.197,0.275,Distracted
0.308,0.166,0.0,0.241,0.234,0.401,0.801,0.07,0.081,0.446,Distracted
0.905,0.075,0.175,0.493,0.33,0.425,0.814,0.167,0.037,0.287,Distracted
0.783,0.064,0.033,0.122,0.635,0.389,0.821,0.018,0.191,0.289,Distracted
0.955,0.109,0.016,0.247,0.86,0.546,0.825,0.273,0.014,0.257,Distracted
0.82,0.187,0.182,0.888,0.199,0.531,0.834,0.004,0.171,0.354,Distracted
0.168,0.032,0.138,0.31,0.503,0.463,0.857,0.113,0.058,0.318,Distracted
0.414,0.017,0.075,0.04,0.274,0.464,0.959,0.194,0.148,0.247,Distracted
0.141,0.078,0.19,0.764,0.109,0.354,0.991,0.106,0.191,0.213,Distracted
0.938,0.038,0.029,0.918,0.887,0.488,0.996,0.233,0.076,0.303,Distracted
0.149,0.127,0.071,0.596,0.814,0.394,0.925,0.021,0.162,0.3,Distracted
0.696,0.129,0.12,0.363,0.824,0.39,0.876,0.059,0.026,0.271,Distracted
0.684,0.177,0.069,0.025,0.69,0.333,0.841,0.24,0.094,0.254,Distracted
0.298,0.016,0.029,0.09,0.911,0.416,0.863,0.183,0.011,0.272,Distracted
0.206,0.032,0.193,0.742,0.547,0.578,0.801,0.037,0.097,0.292,Distracted
0.372,0.183,0.066,0.76,0.339,0.35,0.977,0.16,0.111,0.259,Distracted
0.227,0.051,0.093,0.744,0.919,0.315,0.99,0.179,0.148,0.464,Distracted
0.569,0.07,0.182,0.762,0.812,0.447,0.885,0.288,0.068,0.333,Distracted
0.742,0.188,0.125,0.805,0.845,0.538,0.868,0.255,0.087,0.309,Distracted
0.635,0.15,0.071,0.186,0.749,0.435,0.879,0.121,0.01,0.402,Distracted
0.715,0.043,0.193,0.957,0.427,0.445,0.909,0.088,0.041,0.425,Distracted
0.206,0.089,0.025,0.001,0.039,0.376,0.895,0.158,0.18,0.412,Distracted
0.6,0.031,0.146,0.731,0.77,0.465,0.995,0.199,0.048,0.452,Distracted
0.328,0.179,0.024,0.816,0.597,0.321,0.995,0.102,0.115,0.395,Distracted
